ax,ay,az,gx,gy,gz
-0.36,-1.27,10.18,-0.11,0.07,-0.02
-0.34,-1.24,10.15,-0.16,0.13,-0.01
-0.41,-1.33,10.21,-0.16,0.16,-0.01
-0.43,-1.37,10.2,-0.19,0.18,-0.02
-0.47,-1.46,10.3,-0.14,0.14,-0.01
-0.44,-1.4,10.23,-0.11,0.11,-0.01
-0.42,-1.37,10.24,-0.08,0.09,-0.02
-0.45,-1.46,10.16,-0.03,0.07,-0.01
-0.45,-1.28,10.2,-0.06,0.09,-0.02
-0.5,-1.31,10.32,-0.11,0.1,-0.02
-0.49,-1.4,10.19,-0.05,0.06,-0.01
-0.49,-1.37,10.13,0,0.05,0
-0.51,-1.27,10.29,-0.07,0.1,-0.01
-0.48,-1.23,10.14,-0.02,0.07,0
-0.53,-1.34,10.2,-0.02,0.05,0
-0.47,-1.31,10.42,-0.05,0.05,0
-0.46,-1.26,10.22,0.01,0.03,0.02
-0.45,-1.21,10.18,-0.02,0.04,0
-0.49,-1.19,10.21,-0.05,0.05,-0.01
-0.48,-1.16,10.26,-0.05,0.05,-0.01
-0.43,-1.13,10.29,-0.04,0.05,0
-0.46,-1.14,10.28,-0.05,0.04,-0.01
-0.49,-1.15,10.22,-0.06,0.04,-0.01
-0.48,-1.17,10.22,-0.05,0.06,0
-0.46,-1.07,10.29,-0.09,0.06,0
-0.45,-1.02,10.11,-0.05,0.03,0
-0.51,-1.16,10.32,-0.12,0.06,-0.02
-0.43,-1.16,10.31,-0.06,0.05,-0.01
-0.42,-1.08,10.28,-0.05,0.05,0
-0.47,-1.01,10.26,-0.06,0.04,-0.01
-0.47,-1.06,10.29,-0.08,0.05,-0.01
-0.44,-1.06,10.22,-0.06,0.04,-0.01
-0.45,-0.98,10.26,-0.05,0.04,0
-0.44,-1.02,10.27,-0.06,0.03,0
-0.44,-1.01,10.25,-0.07,0.03,-0.01
-0.42,-1.05,10.27,-0.07,0.03,-0.01
-0.38,-0.97,10.27,-0.06,0.03,0
-0.39,-0.95,10.27,-0.06,0.03,0
-0.43,-0.98,10.28,-0.07,0.03,-0.01
-0.43,-1.01,10.28,-0.06,0.03,-0.01
-0.37,-0.93,10.25,-0.05,0.03,-0.01
-0.4,-0.89,10.27,-0.05,0.03,-0.01
-0.36,-0.92,10.3,-0.08,0.04,-0.01
-0.37,-0.94,10.3,-0.09,0.05,-0.01
-0.35,-0.89,10.12,0.03,0,0.01
-0.39,-0.86,10.32,-0.08,0.05,-0.01
-0.41,-0.89,10.32,-0.1,0.07,-0.01
-0.31,-0.84,10.13,-0.04,0.05,0
-0.41,-0.86,10.41,-0.09,0.05,-0.01
-0.39,-0.84,10.4,-0.08,0.05,0
-0.36,-0.89,10.18,-0.06,0.04,0
-0.35,-0.84,10.22,-0.09,0.06,-0.01
-0.34,-0.75,10.31,-0.12,0.06,-0.02
-0.34,-0.78,10.31,-0.11,0.06,-0.01
-0.32,-0.82,10.28,-0.1,0.06,-0.01
-0.35,-0.8,10.24,-0.13,0.06,-0.02
-0.36,-0.85,10.21,-0.17,0.08,-0.02
-0.37,-0.87,10.36,-0.22,0.11,-0.02
-0.33,-0.83,10.18,-0.17,0.07,-0.02
-0.38,-0.88,10.27,-0.19,0.09,-0.02
-0.4,-0.94,10.38,-0.19,0.09,-0.02
-0.35,-0.93,10.31,-0.17,0.1,-0.02
-0.38,-0.94,10.24,-0.18,0.09,-0.03
-0.43,-0.96,10.28,-0.19,0.09,-0.03
-0.42,-0.96,10.27,-0.17,0.1,-0.02
-0.44,-0.96,10.26,-0.18,0.09,-0.02
-0.46,-1.02,10.23,-0.19,0.09,-0.03
-0.41,-1.06,10.24,-0.17,0.09,-0.02
-0.44,-1.09,10.28,-0.17,0.1,-0.02
-0.46,-1.06,10.29,-0.17,0.09,-0.02
-0.45,-1.11,10.2,-0.17,0.08,-0.02
-0.47,-1.12,10.22,-0.18,0.09,-0.03
-0.48,-1.13,10.29,-0.23,0.09,-0.03
-0.51,-1.12,10.26,-0.2,0.09,-0.03
-0.51,-1.19,10.2,-0.18,0.08,-0.03
-0.5,-1.24,10.24,-0.22,0.08,-0.03
-0.5,-1.2,10.34,-0.26,0.09,-0.04
-0.45,-1.21,10.2,-0.19,0.06,-0.02
-0.49,-1.19,10.16,-0.15,0.05,-0.02
-0.55,-1.35,10.32,-0.25,0.09,-0.04
-0.47,-1.28,10.09,-0.16,0.08,-0.02
-0.5,-1.3,10.13,-0.15,0.07,-0.03
-0.58,-1.35,10.37,-0.23,0.07,-0.03
-0.51,-1.38,10.23,-0.2,0.06,-0.02
-0.44,-1.45,10.07,-0.16,0.09,-0.02
-0.52,-1.41,10.25,-0.2,0.09,-0.03
-0.57,-1.39,10.31,-0.21,0.06,-0.04
-0.49,-1.42,10.14,-0.18,0.07,-0.03
-0.48,-1.44,10.13,-0.17,0.09,-0.03
-0.56,-1.5,10.29,-0.2,0.06,-0.04
-0.79,-1.66,9.87,-0.24,0.14,0.02
-0.66,-1.56,10.48,-0.23,0.04,-0.03
-0.42,-1.44,9.94,-0.11,0.05,-0.01
-0.49,-1.68,10.18,-0.13,0.07,-0.02
-0.5,-1.46,10.2,-0.07,0.09,0.01
-0.57,-1.48,10.18,-0.05,0.11,0.01
-0.61,-1.52,10.18,-0.08,0.11,0
-0.67,-1.57,10.26,-0.11,0.1,-0.01
-0.64,-1.53,10.16,-0.09,0.09,-0.01
-0.6,-1.48,10.14,-0.1,0.08,-0.01
-0.58,-1.53,10.18,-0.11,0.08,-0.02
-0.61,-1.47,10.21,-0.12,0.07,-0.01
-0.64,-1.51,10.17,-0.12,0.07,-0.02
-0.63,-1.57,10.17,-0.12,0.07,-0.02
-0.64,-1.56,10.16,-0.11,0.07,-0.02
-0.65,-1.48,10.15,-0.11,0.06,-0.02
-0.63,-1.5,10.19,-0.12,0.07,-0.02
-0.63,-1.56,10.18,-0.11,0.06,-0.02
-0.64,-1.52,10.2,-0.1,0.06,-0.01
-0.64,-1.55,10.18,-0.08,0.06,-0.01
-0.64,-1.51,10.17,-0.08,0.05,-0.01
-0.66,-1.53,10.21,-0.1,0.05,-0.02
-0.6,-1.51,10.19,-0.08,0.06,-0.01
-0.61,-1.47,10.03,0.02,0.02,0.01
-0.63,-1.5,10.28,-0.1,0.06,-0.01
-0.65,-1.45,10.23,-0.08,0.06,-0.01
-0.61,-1.44,10.03,0.02,0.03,0.01
-0.66,-1.45,10.28,-0.03,0.04,0
-0.62,-1.45,10.26,-0.04,0.03,0.01
-0.58,-1.43,10.19,-0.03,0.02,0.01
-0.57,-1.38,10.14,-0.04,0.04,0
-0.57,-1.32,10.23,-0.03,0.04,0
-0.57,-1.28,10.24,-0.03,0.03,0
-0.57,-1.3,10.22,-0.04,0.03,0
-0.57,-1.33,10.2,-0.04,0.03,0
-0.58,-1.29,10.18,-0.05,0.03,0
-0.6,-1.27,10.3,-0.09,0.05,0
-0.53,-1.29,10.07,-0.02,0.01,0.01
-0.54,-1.25,10.17,-0.04,0.03,-0.01
-0.57,-1.23,10.28,-0.06,0.04,0
-0.53,-1.22,10.26,-0.03,0.03,0
-0.48,-1.19,10.22,-0.03,0.03,0
-0.55,-1.19,10.23,-0.05,0.04,0
-0.53,-1.18,10.25,-0.05,0.03,0
-0.48,-1.09,10.23,-0.04,0.02,0
-0.49,-1.13,10.22,-0.04,0.02,0
-0.47,-1.1,10.19,-0.03,0.02,0
-0.46,-1.12,10.23,-0.04,0.03,0
-0.46,-1.07,10.28,-0.05,0.03,0
-0.46,-1.06,10.28,-0.05,0.02,0
-0.48,-1.09,10.23,-0.05,0.02,-0.01
-0.44,-1.03,10.25,-0.04,0.02,-0.01
-0.44,-0.99,10.24,-0.04,0.02,0
-0.44,-0.99,10.23,-0.04,0.02,0
-0.45,-0.97,10.26,-0.05,0.03,-0.01
-0.44,-0.98,10.34,-0.08,0.04,-0.01
-0.39,-0.94,10.25,-0.04,0.02,0
-0.38,-0.89,10.09,0.06,-0.01,0.01
-0.39,-0.93,10.3,-0.09,0.06,-0.01
-0.37,-0.88,10.25,-0.06,0.06,-0.01
-0.39,-0.91,10.2,-0.05,0.04,0
-0.43,-0.94,10.46,-0.09,0.05,-0.01
-0.38,-0.9,10.27,-0.04,0.03,0.01
-0.39,-0.86,10.23,-0.05,0.04,0
-0.37,-0.83,10.26,-0.09,0.05,-0.01
-0.38,-0.81,10.32,-0.09,0.05,-0.01
-0.34,-0.77,10.29,-0.07,0.05,-0.01
-0.34,-0.79,10.27,-0.07,0.04,-0.01
-0.36,-0.82,10.24,-0.08,0.04,-0.01
-0.39,-0.87,10.3,-0.1,0.07,-0.01
-0.34,-0.83,10.31,-0.13,0.07,-0.01
-0.33,-0.76,10.13,-0.09,0.04,-0.01
-0.37,-0.81,10.32,-0.14,0.06,-0.02
-0.37,-0.83,10.31,-0.14,0.06,-0.02
-0.37,-0.86,10.24,-0.14,0.08,-0.02
-0.38,-0.83,10.25,-0.16,0.06,-0.02
-0.38,-0.82,10.3,-0.19,0.09,-0.03
-0.35,-0.85,10.23,-0.17,0.09,-0.02
-0.36,-0.91,10.28,-0.18,0.09,-0.02
-0.38,-0.88,10.29,-0.17,0.07,-0.02
-0.39,-0.91,10.27,-0.18,0.08,-0.02
-0.41,-0.96,10.3,-0.2,0.09,-0.03
