acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.21,0.45,0.307,0.0444056223521573,-1.58,-0.77,-1.2150999999999998,0.2072844039492672,10.09,10.55,10.28825,0.0639757923753216,-0.24,0.04,-0.1071,0.0598204180197723,0.02,0.1,0.0587,0.0143995393561162,-0.02,0.0,-0.0121999999999999,0.0055055933185211,0.0
0.18,0.42,0.29195,0.054548834789429,-1.78,-1.11,-1.46425,0.1917767690460151,10.04,10.44,10.25275,0.0565235531464672,-0.2,0.03,-0.0969,0.0433565328955581,0.02,0.1,0.0562999999999999,0.0146074256603314,-0.02,0.0,-0.01125,0.0042458966298009,0.0
0.21,0.42,0.2986,0.0459849221520123,-1.68,-1.11,-1.4491000000000005,0.1537935377748575,10.03,10.46,10.25605,0.0565498623753705,-0.2,-0.01,-0.1132,0.0395166779878569,0.02,0.1,0.0601,0.0142479831950219,-0.02,0.0,-0.0122,0.004719253837623,0.0
0.18,0.43,0.3028,0.0616943348677483,-1.81,-1.02,-1.4121499999999998,0.223098052896098,10.03,10.46,10.2602,0.0668002347060541,-0.21,0.04,-0.10795,0.0558110370741888,0.01,0.1,0.0595,0.0168871513108926,-0.02,0.0,-0.01275,0.0053928577371245,0.0
0.2,0.43,0.2907,0.0583655952901008,-1.82,-1.11,-1.5366,0.1974394888536585,9.98,10.45,10.2406,0.059059972925917,-0.2,0.01,-0.1107,0.0401443375732615,0.02,0.09,0.05905,0.0134350288425444,-0.02,0.0,-0.0128499999999999,0.0048471615275717,0.0
0.23,0.46,0.33055,0.0496844060144128,-1.8,-1.13,-1.4510000000000003,0.1856592220539242,10.07,10.44,10.2512,0.0535527730139852,-0.22,0.03,-0.10455,0.0525031465915144,0.01,0.1,0.05835,0.0165877444618506,-0.02,0.0,-0.01245,0.0053517009929169,0.0
0.2,0.47,0.33485,0.0550100721704762,-1.81,-1.03,-1.4480000000000002,0.2113417295121004,10.01,10.48,10.2552,0.0587556048860671,-0.2,0.03,-0.1011,0.0530647655863442,0.02,0.09,0.05685,0.0154847144600585,-0.02,0.0,-0.0121999999999999,0.0049276167703237,0.0
0.22,0.46,0.3216,0.0545188179213167,-1.78,-1.1,-1.50025,0.1820802117682971,10.04,10.51,10.24705,0.0655306710191578,-0.23,0.02,-0.1073,0.0533756009227938,0.02,0.11,0.0586,0.0165350244987988,-0.02,0.0,-0.0118,0.0048866549893485,0.0
0.21,0.49,0.3336499999999999,0.0558549584361992,-1.86,-1.1,-1.4958,0.2100546949591269,9.96,10.43,10.2488,0.0611248002534989,-0.22,0.01,-0.11765,0.0504848601615141,0.02,0.1,0.06155,0.015854156280193,-0.02,0.0,-0.0134,0.0050564650889707,0.0
0.22,0.46,0.31645,0.053433822311661,-1.92,-1.23,-1.5854500000000002,0.2006416779100814,10.05,10.38,10.2298,0.0551923088371365,-0.22,0.04,-0.1032,0.0532724107652706,0.01,0.1,0.058,0.0168349958546812,-0.02,0.0,-0.01215,0.004898723041486,0.0
0.2,0.41,0.2878,0.0458439564360291,-1.87,-1.31,-1.68815,0.1542759959117842,9.98,10.4,10.21245,0.0542050591938709,-0.2,0.02,-0.112,0.0388787575540258,0.02,0.09,0.0592,0.0124553473814245,-0.02,0.0,-0.01215,0.0045806562914391,0.0
0.21,0.41,0.3018499999999999,0.0463120017656081,-1.61,-0.97,-1.32405,0.1997161239128022,10.07,10.52,10.27475,0.0599240515969923,-0.24,0.03,-0.10495,0.0557813165529634,0.02,0.11,0.0586,0.0149383994756624,-0.02,0.0,-0.0121,0.0049712742671468,0.0
0.23,0.41,0.31205,0.0443863519700147,-1.89,-1.35,-1.6339,0.1683612710451537,9.98,10.4,10.2247,0.0568159330756459,-0.2,0.02,-0.10095,0.0435093416873934,0.02,0.1,0.0572,0.0132680142072966,-0.02,0.0,-0.0117499999999999,0.0047487104835188,0.0
0.23,0.44,0.3069999999999999,0.0393029721279504,-1.92,-1.31,-1.66775,0.1446132860859015,9.98,10.41,10.2176,0.0566505642704537,-0.2,0.0,-0.1059,0.0449700067549215,0.02,0.1,0.05855,0.0144025925918507,-0.02,0.0,-0.0121,0.0046581640656283,0.0
0.22,0.44,0.30935,0.0438370383311674,-1.99,-1.35,-1.6805,0.1747870204350506,9.95,10.42,10.213100000000004,0.0591768493372825,-0.21,0.01,-0.1172,0.0422740520578159,0.02,0.11,0.06125,0.0142813615048482,-0.02,0.0,-0.0128,0.0049276167703237,0.0
0.23,0.45,0.31915,0.0458835920575155,-1.95,-1.35,-1.69685,0.1805590912336891,9.97,10.41,10.210900000000002,0.0547464691043814,-0.2,0.03,-0.0986,0.0438938875794132,0.01,0.1,0.05655,0.0138403495758564,-0.02,0.0,-0.0116999999999999,0.0051226171075096,0.0
0.22,0.44,0.3095,0.0408545649516297,-1.93,-1.32,-1.6959000000000004,0.1436921262132285,9.97,10.43,10.2157,0.0608194461099871,-0.2,0.0,-0.10635,0.0450814728683513,0.03,0.1,0.05905,0.0141987861325604,-0.02,0.0,-0.01215,0.0050002512499687,0.0
0.2,0.44,0.31945,0.0379261050891886,-1.91,-1.41,-1.6763,0.1409918562101653,9.96,10.39,10.2135,0.0551539644902791,-0.2,0.01,-0.1063,0.0441822402301965,0.01,0.09,0.0583,0.0133792759567036,-0.02,0.0,-0.0122,0.0052246035650621,0.0
