ax,ay,az,gx,gy,gz
0.01,-1.19,10.21,-0.17,0.1,-0.02
0.05,-1.22,10.31,-0.19,0.11,-0.02
0.0,-1.23,10.31,-0.18,0.1,-0.02
-0.03,-1.24,10.27,-0.17,0.1,-0.02
-0.01,-1.28,10.27,-0.17,0.1,-0.02
-0.03,-1.33,10.25,-0.17,0.1,-0.02
-0.06,-1.35,10.41,-0.21,0.09,-0.02
-0.04,-1.32,10.07,-0.1,0.06,0.0
-0.03,-1.34,10.27,-0.16,0.08,-0.02
-0.08,-1.36,10.32,-0.15,0.08,-0.02
-0.08,-1.36,10.28,-0.14,0.08,-0.01
-0.09,-1.35,10.2,-0.13,0.07,-0.01
-0.05,-1.38,10.28,-0.15,0.07,-0.02
-0.04,-1.37,10.21,-0.14,0.07,-0.01
-0.06,-1.39,10.21,-0.13,0.07,-0.02
-0.08,-1.39,10.22,-0.14,0.07,-0.02
-0.07,-1.42,10.24,-0.13,0.06,-0.02
-0.08,-1.43,10.22,-0.13,0.06,-0.01
-0.09,-1.42,10.24,-0.13,0.07,-0.01
-0.1,-1.41,10.24,-0.14,0.07,-0.01
-0.1,-1.43,10.24,-0.13,0.07,-0.01
-0.1,-1.45,10.24,-0.13,0.07,-0.02
-0.11,-1.45,10.23,-0.13,0.07,-0.02
-0.1,-1.44,10.22,-0.13,0.07,-0.02
-0.09,-1.45,10.19,-0.12,0.07,-0.01
-0.12,-1.47,10.25,-0.15,0.08,-0.02
-0.09,-1.48,10.28,-0.14,0.07,-0.02
-0.07,-1.43,10.03,-0.03,0.04,-0.01
-0.12,-1.47,10.34,-0.17,0.07,-0.02
-0.11,-1.46,10.3,-0.13,0.08,-0.01
-0.14,-1.42,10.05,-0.05,0.06,0.0
-0.11,-1.48,10.29,-0.12,0.07,-0.01
-0.13,-1.51,10.32,-0.12,0.05,-0.02
-0.13,-1.48,10.2,-0.1,0.05,-0.01
-0.11,-1.46,10.15,-0.12,0.07,-0.01
-0.1,-1.47,10.28,-0.13,0.07,-0.01
-0.09,-1.43,10.29,-0.1,0.06,-0.01
-0.13,-1.44,10.24,-0.09,0.06,-0.01
-0.1,-1.45,10.22,-0.1,0.06,-0.01
-0.11,-1.49,10.22,-0.1,0.06,-0.01
-0.13,-1.51,10.35,-0.12,0.06,-0.01
-0.1,-1.45,10.07,-0.03,0.02,0.0
-0.13,-1.44,10.22,-0.07,0.04,-0.01
-0.11,-1.44,10.29,-0.08,0.04,-0.01
-0.15,-1.42,10.29,-0.05,0.04,-0.01
-0.13,-1.42,10.24,-0.05,0.03,0.0
-0.1,-1.39,10.25,-0.05,0.03,0.0
-0.04,-1.38,10.25,-0.05,0.03,0.0
-0.06,-1.35,10.23,-0.04,0.03,-0.01
-0.09,-1.33,10.23,-0.04,0.03,-0.01
-0.06,-1.35,10.26,-0.04,0.02,-0.01
-0.01,-1.33,10.26,-0.04,0.02,0.0
-0.03,-1.32,10.25,-0.03,0.02,0.0
-0.05,-1.27,10.26,-0.04,0.02,0.0
-0.03,-1.26,10.25,-0.04,0.03,-0.01
-0.02,-1.25,10.28,-0.05,0.02,-0.01
-0.02,-1.23,10.25,-0.04,0.02,-0.01
0.0,-1.23,10.29,-0.04,0.02,-0.01
0.03,-1.19,10.27,-0.04,0.02,-0.01
0.04,-1.19,10.19,-0.02,0.02,-0.01
0.01,-1.19,10.31,-0.05,0.03,-0.01
0.04,-1.18,10.38,-0.07,0.03,-0.01
0.06,-1.12,10.14,0.05,0.0,0.0
0.03,-1.08,10.39,-0.06,0.02,-0.01
0.06,-1.08,10.38,-0.08,0.05,-0.01
0.05,-1.03,10.12,0.0,0.04,0.0
0.06,-1.08,10.34,-0.05,0.02,-0.01
0.06,-1.1,10.43,-0.05,0.02,-0.01
0.08,-1.05,10.29,-0.01,0.02,0.0
0.08,-0.97,10.22,-0.03,0.03,-0.01
0.13,-0.96,10.29,-0.07,0.04,-0.01
0.14,-0.97,10.32,-0.06,0.04,-0.01
0.11,-0.94,10.34,-0.06,0.04,-0.01
0.14,-0.94,10.3,-0.06,0.04,-0.01
0.14,-0.98,10.3,-0.07,0.04,-0.01
0.11,-0.98,10.41,-0.11,0.06,-0.01
0.13,-0.93,10.21,-0.07,0.04,0.0
0.12,-0.9,10.23,-0.07,0.04,-0.01
0.12,-0.95,10.39,-0.1,0.04,-0.02
0.11,-0.94,10.35,-0.06,0.04,-0.01
0.1,-0.9,10.29,-0.06,0.04,-0.01
0.15,-0.9,10.3,-0.07,0.04,-0.01
0.17,-0.88,10.32,-0.09,0.04,-0.01
0.15,-0.89,10.3,-0.07,0.04,-0.01
0.16,-0.86,10.29,-0.07,0.04,-0.01
0.19,-0.86,10.3,-0.07,0.03,-0.01
0.2,-0.86,10.29,-0.07,0.03,-0.01
0.2,-0.85,10.32,-0.09,0.04,-0.01
0.19,-0.84,10.33,-0.09,0.04,-0.01
0.19,-0.84,10.34,-0.09,0.04,-0.01
0.19,-0.81,10.31,-0.08,0.04,-0.01
0.2,-0.82,10.31,-0.09,0.04,-0.02
0.22,-0.82,10.29,-0.07,0.04,-0.01
0.2,-0.8,10.32,-0.09,0.05,-0.02
0.22,-0.81,10.43,-0.13,0.06,-0.02
0.22,-0.82,10.28,-0.07,0.04,-0.01
0.22,-0.73,10.21,-0.02,0.03,-0.01
0.23,-0.81,10.35,-0.12,0.09,-0.02
0.2,-0.77,10.23,-0.1,0.08,-0.01
0.21,-0.79,10.25,-0.11,0.06,-0.01
0.19,-0.84,10.46,-0.16,0.07,-0.02
0.18,-0.84,10.3,-0.12,0.06,-0.01
0.2,-0.79,10.29,-0.13,0.08,-0.01
0.22,-0.8,10.3,-0.17,0.09,-0.01
0.21,-0.8,10.32,-0.18,0.1,-0.02
0.18,-0.83,10.34,-0.18,0.1,-0.02
0.18,-0.86,10.32,-0.18,0.09,-0.02
0.17,-0.91,10.28,-0.18,0.09,-0.02
0.14,-0.93,10.34,-0.19,0.11,-0.02
0.14,-0.96,10.35,-0.2,0.1,-0.01
0.14,-0.91,10.14,-0.14,0.08,-0.01
0.14,-0.98,10.37,-0.19,0.09,-0.02
0.11,-1.01,10.38,-0.17,0.08,-0.02
0.09,-1.01,10.32,-0.16,0.09,-0.02
0.12,-0.99,10.26,-0.16,0.08,-0.02
0.12,-1.02,10.31,-0.19,0.09,-0.02
0.1,-1.03,10.28,-0.18,0.09,-0.02
0.09,-1.05,10.28,-0.18,0.09,-0.02
0.1,-1.06,10.3,-0.16,0.07,-0.02
0.08,-1.1,10.3,-0.14,0.07,-0.02
0.09,-1.08,10.3,-0.14,0.08,-0.01
0.07,-1.1,10.26,-0.16,0.08,-0.01
0.05,-1.1,10.3,-0.17,0.08,-0.02
0.05,-1.14,10.3,-0.16,0.07,-0.02
0.07,-1.14,10.29,-0.16,0.07,-0.02
0.06,-1.17,10.25,-0.14,0.07,-0.02
0.03,-1.17,10.24,-0.16,0.08,-0.02
0.04,-1.21,10.4,-0.19,0.09,-0.02
0.05,-1.19,10.25,-0.12,0.05,-0.01
0.05,-1.16,10.24,-0.1,0.06,-0.01
0.06,-1.2,10.3,-0.17,0.1,-0.02
0.01,-1.17,10.13,-0.12,0.09,-0.01
0.0,-1.24,10.19,-0.15,0.09,-0.01
0.01,-1.29,10.42,-0.19,0.08,-0.02
0.0,-1.27,10.31,-0.14,0.07,-0.02
-0.02,-1.24,10.19,-0.15,0.09,-0.02
0.01,-1.24,10.22,-0.19,0.11,-0.02
0.01,-1.27,10.31,-0.19,0.11,-0.02
-0.01,-1.26,10.3,-0.16,0.09,-0.02
-0.04,-1.29,10.26,-0.14,0.09,-0.02
