ax,ay,az,gx,gy,gz
0.01,-1.33,10.25,-0.11,0.06,-0.01
0.05,-1.32,10.21,-0.11,0.06,-0.01
0.04,-1.36,10.24,-0.12,0.07,-0.01
0.01,-1.42,10.42,-0.17,0.07,-0.02
0.05,-1.33,10.11,-0.06,0.04,0.0
0.02,-1.37,10.26,-0.12,0.06,-0.02
0.01,-1.4,10.3,-0.12,0.06,-0.01
0.0,-1.39,10.29,-0.1,0.06,-0.01
0.01,-1.35,10.24,-0.09,0.06,-0.01
0.05,-1.34,10.28,-0.11,0.06,-0.01
0.06,-1.34,10.25,-0.11,0.06,-0.01
0.02,-1.35,10.22,-0.11,0.06,-0.02
0.01,-1.32,10.23,-0.1,0.05,-0.01
0.04,-1.35,10.24,-0.1,0.05,-0.01
0.04,-1.37,10.24,-0.1,0.05,-0.01
0.02,-1.34,10.23,-0.1,0.06,-0.01
0.04,-1.36,10.25,-0.11,0.05,-0.01
0.02,-1.36,10.22,-0.11,0.05,-0.01
0.02,-1.36,10.24,-0.11,0.05,-0.01
0.04,-1.34,10.25,-0.11,0.05,-0.01
0.04,-1.34,10.25,-0.11,0.05,-0.01
0.04,-1.33,10.24,-0.11,0.05,-0.02
0.03,-1.34,10.21,-0.09,0.05,-0.01
0.05,-1.35,10.27,-0.12,0.06,-0.02
0.07,-1.36,10.31,-0.13,0.06,-0.01
0.09,-1.32,10.08,-0.02,0.03,-0.01
-0.02,-1.34,10.46,-0.15,0.06,-0.02
0.05,-1.32,10.34,-0.14,0.08,-0.02
0.03,-1.29,10.02,-0.06,0.07,0.0
0.02,-1.37,10.28,-0.13,0.08,-0.02
0.02,-1.39,10.39,-0.15,0.07,-0.02
0.01,-1.38,10.23,-0.11,0.07,-0.01
0.03,-1.32,10.19,-0.12,0.07,-0.01
0.06,-1.32,10.25,-0.14,0.08,-0.01
0.03,-1.36,10.32,-0.14,0.07,-0.01
0.0,-1.34,10.29,-0.12,0.07,-0.01
0.02,-1.36,10.25,-0.11,0.07,-0.01
0.05,-1.35,10.18,-0.12,0.07,-0.01
0.03,-1.4,10.31,-0.13,0.08,-0.02
0.01,-1.39,10.24,-0.11,0.05,-0.01
0.02,-1.36,10.12,-0.06,0.04,-0.01
0.02,-1.41,10.3,-0.13,0.06,-0.02
0.01,-1.42,10.31,-0.1,0.05,-0.01
-0.02,-1.4,10.28,-0.09,0.05,-0.01
0.0,-1.37,10.2,-0.09,0.05,-0.01
0.02,-1.35,10.28,-0.11,0.06,-0.01
0.02,-1.34,10.21,-0.11,0.06,-0.01
0.01,-1.33,10.2,-0.11,0.06,-0.02
0.03,-1.35,10.24,-0.1,0.05,-0.01
0.04,-1.36,10.23,-0.09,0.04,-0.01
0.04,-1.37,10.25,-0.09,0.05,-0.01
0.03,-1.36,10.23,-0.1,0.06,-0.01
0.02,-1.37,10.23,-0.11,0.06,-0.01
0.03,-1.37,10.26,-0.11,0.05,-0.01
0.0,-1.37,10.24,-0.11,0.05,-0.02
0.02,-1.36,10.23,-0.11,0.05,-0.02
0.03,-1.35,10.24,-0.11,0.05,-0.02
0.02,-1.35,10.23,-0.1,0.05,-0.01
0.03,-1.33,10.22,-0.11,0.06,-0.01
0.03,-1.38,10.34,-0.14,0.07,-0.02
0.05,-1.36,10.26,-0.1,0.04,-0.01
0.03,-1.29,10.17,-0.04,0.04,-0.01
0.06,-1.37,10.27,-0.11,0.08,-0.01
0.05,-1.31,10.14,-0.09,0.08,-0.01
0.01,-1.34,10.14,-0.1,0.07,-0.01
0.0,-1.41,10.39,-0.16,0.07,-0.02
0.03,-1.4,10.27,-0.12,0.06,-0.01
0.0,-1.36,10.21,-0.11,0.07,-0.01
0.03,-1.32,10.21,-0.14,0.08,-0.01
0.04,-1.35,10.29,-0.14,0.08,-0.01
-0.01,-1.37,10.28,-0.13,0.07,-0.02
0.0,-1.37,10.26,-0.12,0.07,-0.01
0.03,-1.35,10.21,-0.12,0.07,-0.01
0.03,-1.41,10.22,-0.12,0.08,-0.01
-0.01,-1.45,10.38,-0.16,0.07,-0.01
0.03,-1.36,10.08,-0.06,0.04,0.0
0.01,-1.39,10.26,-0.12,0.06,-0.02
-0.01,-1.42,10.32,-0.11,0.05,-0.02
-0.05,-1.42,10.26,-0.09,0.05,-0.01
-0.02,-1.37,10.23,-0.08,0.05,-0.01
0.02,-1.34,10.26,-0.1,0.05,-0.01
0.06,-1.36,10.23,-0.09,0.05,-0.01
