acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.21,0.45,0.307,0.044405622,-1.58,-0.77,-1.2151,0.207284404,10.09,10.55,10.28825,0.063975792,-0.24,0.04,-0.1071,0.059820418,0.02,0.1,0.0587,0.014399539,-0.02,0,-0.0122,0.005505593,0
0.18,0.42,0.29195,0.054548835,-1.78,-1.11,-1.46425,0.191776769,10.04,10.44,10.25275,0.056523553,-0.2,0.03,-0.0969,0.043356533,0.02,0.1,0.0563,0.014607426,-0.02,0,-0.01125,0.004245897,0
0.21,0.42,0.2986,0.045984922,-1.68,-1.11,-1.4491,0.153793538,10.03,10.46,10.25605,0.056549862,-0.2,-0.01,-0.1132,0.039516678,0.02,0.1,0.0601,0.014247983,-0.02,0,-0.0122,0.004719254,0
0.18,0.43,0.3028,0.061694335,-1.81,-1.02,-1.41215,0.223098053,10.03,10.46,10.2602,0.066800235,-0.21,0.04,-0.10795,0.055811037,0.01,0.1,0.0595,0.016887151,-0.02,0,-0.01275,0.005392858,0
0.2,0.43,0.2907,0.058365595,-1.82,-1.11,-1.5366,0.197439489,9.98,10.45,10.2406,0.059059973,-0.2,0.01,-0.1107,0.040144338,0.02,0.09,0.05905,0.013435029,-0.02,0,-0.01285,0.004847162,0
0.23,0.46,0.33055,0.049684406,-1.8,-1.13,-1.451,0.185659222,10.07,10.44,10.2512,0.053552773,-0.22,0.03,-0.10455,0.052503147,0.01,0.1,0.05835,0.016587744,-0.02,0,-0.01245,0.005351701,0
0.2,0.47,0.33485,0.055010072,-1.81,-1.03,-1.448,0.21134173,10.01,10.48,10.2552,0.058755605,-0.2,0.03,-0.1011,0.053064766,0.02,0.09,0.05685,0.015484714,-0.02,0,-0.0122,0.004927617,0
0.22,0.46,0.3216,0.054518818,-1.78,-1.1,-1.50025,0.182080212,10.04,10.51,10.24705,0.065530671,-0.23,0.02,-0.1073,0.053375601,0.02,0.11,0.0586,0.016535024,-0.02,0,-0.0118,0.004886655,0
0.21,0.49,0.33365,0.055854958,-1.86,-1.1,-1.4958,0.210054695,9.96,10.43,10.2488,0.0611248,-0.22,0.01,-0.11765,0.05048486,0.02,0.1,0.06155,0.015854156,-0.02,0,-0.0134,0.005056465,0
0.22,0.46,0.31645,0.053433822,-1.92,-1.23,-1.58545,0.200641678,10.05,10.38,10.2298,0.055192309,-0.22,0.04,-0.1032,0.053272411,0.01,0.1,0.058,0.016834996,-0.02,0,-0.01215,0.004898723,0
0.2,0.41,0.2878,0.045843956,-1.87,-1.31,-1.68815,0.154275996,9.98,10.4,10.21245,0.054205059,-0.2,0.02,-0.112,0.038878758,0.02,0.09,0.0592,0.012455347,-0.02,0,-0.01215,0.004580656,0
0.21,0.41,0.30185,0.046312002,-1.61,-0.97,-1.32405,0.199716124,10.07,10.52,10.27475,0.059924052,-0.24,0.03,-0.10495,0.055781317,0.02,0.11,0.0586,0.014938399,-0.02,0,-0.0121,0.004971274,0
0.23,0.41,0.31205,0.044386352,-1.89,-1.35,-1.6339,0.168361271,9.98,10.4,10.2247,0.056815933,-0.2,0.02,-0.10095,0.043509342,0.02,0.1,0.0572,0.013268014,-0.02,0,-0.01175,0.00474871,0
0.23,0.44,0.307,0.039302972,-1.92,-1.31,-1.66775,0.144613286,9.98,10.41,10.2176,0.056650564,-0.2,0,-0.1059,0.044970007,0.02,0.1,0.05855,0.014402593,-0.02,0,-0.0121,0.004658164,0
0.22,0.44,0.30935,0.043837038,-1.99,-1.35,-1.6805,0.17478702,9.95,10.42,10.2131,0.059176849,-0.21,0.01,-0.1172,0.042274052,0.02,0.11,0.06125,0.014281362,-0.02,0,-0.0128,0.004927617,0
0.23,0.45,0.31915,0.045883592,-1.95,-1.35,-1.69685,0.180559091,9.97,10.41,10.2109,0.054746469,-0.2,0.03,-0.0986,0.043893888,0.01,0.1,0.05655,0.01384035,-0.02,0,-0.0117,0.005122617,0
0.22,0.44,0.3095,0.040854565,-1.93,-1.32,-1.6959,0.143692126,9.97,10.43,10.2157,0.060819446,-0.2,0,-0.10635,0.045081473,0.03,0.1,0.05905,0.014198786,-0.02,0,-0.01215,0.005000251,0
0.2,0.44,0.31945,0.037926105,-1.91,-1.41,-1.6763,0.140991856,9.96,10.39,10.2135,0.055153964,-0.2,0.01,-0.1063,0.04418224,0.01,0.09,0.0583,0.013379276,-0.02,0,-0.0122,0.005224604,0
0.21,0.45,0.31185,0.053940946,-1.97,-1.29,-1.69945,0.197670345,9.99,10.46,10.2099,0.057493631,-0.21,0.01,-0.11565,0.047336893,0.03,0.1,0.06135,0.015777266,-0.02,0,-0.0131,0.005341597,0
0.21,0.44,0.3078,0.044891382,-2.04,-1.39,-1.72465,0.170139988,9.97,10.42,10.2061,0.058831076,-0.21,0.02,-0.109,0.052101563,0.02,0.1,0.0591,0.01629471,-0.02,0,-0.0129,0.005810232,0
0.18,0.4,0.29905,0.04642601,-2,-1.38,-1.71645,0.18727589,9.95,10.44,10.20815,0.057433182,-0.22,0.02,-0.10425,0.053373035,0.02,0.1,0.0584,0.015833302,-0.02,0,-0.01235,0.005488911,0
0.21,0.44,0.3048,0.055365029,-1.97,-1.24,-1.669,0.210789375,9.95,10.37,10.2141,0.05333303,-0.21,0.01,-0.102,0.054367075,0.02,0.1,0.05765,0.015594662,-0.02,0,-0.0126,0.005779882,0
0.17,0.4,0.27255,0.048453443,-1.75,-1.06,-1.4841,0.196655938,10.02,10.43,10.24915,0.05612063,-0.22,0.03,-0.11705,0.047508767,0.02,0.1,0.0611,0.012869269,-0.02,0,-0.01275,0.005392858,0
0.23,0.44,0.3093,0.044940049,-2.01,-1.37,-1.72845,0.167871983,9.96,10.39,10.20375,0.053626641,-0.21,0.02,-0.10325,0.048948106,0.02,0.1,0.05735,0.015318314,-0.02,0,-0.0116,0.004532407,0
0.21,0.44,0.3112,0.043612732,-1.99,-1.33,-1.7375,0.168149102,9.98,10.41,10.20515,0.057946237,-0.21,0.02,-0.10895,0.05078675,0.01,0.1,0.0597,0.015365235,-0.02,0,-0.01295,0.005653078,0
0.23,0.46,0.3202,0.044945081,-2,-1.31,-1.6836,0.175705441,9.97,10.38,10.2137,0.051415247,-0.21,0,-0.1118,0.046460228,0.03,0.09,0.0595,0.01416876,-0.02,0,-0.0127,0.005181141,0
0.24,0.42,0.32775,0.035308226,-1.97,-1.4,-1.68145,0.140624585,10.07,10.39,10.2137,0.048910851,-0.2,0.01,-0.10765,0.041841739,0.01,0.1,0.0586,0.013111045,-0.02,0,-0.01205,0.004626502,0
0.23,0.4,0.30835,0.035398343,-1.97,-1.52,-1.79375,0.111262456,9.98,10.38,10.19385,0.050690484,-0.18,0,-0.10845,0.029520413,0.03,0.09,0.05915,0.010925858,-0.02,0,-0.012,0.004369837,0
0.24,0.43,0.3204,0.044584514,-1.95,-1.36,-1.72465,0.168865197,9.94,10.39,10.20475,0.06134946,-0.2,0.04,-0.0979,0.04199294,0.01,0.1,0.05735,0.014123557,-0.02,0,-0.01115,0.004390202,0
0.25,0.44,0.33485,0.038449569,-1.88,-1.33,-1.65775,0.141915955,10.01,10.38,10.2203,0.054060361,-0.2,0.01,-0.10955,0.042049235,0.01,0.1,0.05995,0.012935771,-0.02,0,-0.01185,0.00481596,0
0.25,0.49,0.35915,0.048689123,-1.81,-1.12,-1.5317,0.179205701,10.04,10.44,10.24065,0.055854059,-0.22,0,-0.1107,0.048882075,0.03,0.1,0.05985,0.014194539,-0.02,0,-0.01225,0.004955835,0
0.24,0.46,0.34355,0.044018013,-1.87,-1.26,-1.58485,0.171803843,10.03,10.45,10.2344,0.057148664,-0.21,0,-0.1039,0.047561544,0.02,0.1,0.05785,0.01466125,-0.02,0,-0.0121,0.00507135,0
0.25,0.46,0.3313,0.041423296,-1.9,-1.27,-1.6743,0.15301496,10.02,10.41,10.21705,0.057430732,-0.2,0.01,-0.10375,0.046239898,0.01,0.1,0.0574,0.015012223,-0.02,0,-0.01205,0.005042284,0
0.18,0.4,0.2935,0.049861618,-1.74,-1.03,-1.42105,0.193915999,10.07,10.47,10.25845,0.057363318,-0.2,0.02,-0.1053,0.051917116,0.02,0.1,0.0581,0.015315444,-0.02,0,-0.0122,0.005319916,0
0.24,0.44,0.3288,0.042775093,-1.93,-1.24,-1.6723,0.191491659,10.05,10.42,10.2138,0.056768595,-0.21,0.02,-0.1108,0.043367774,0.02,0.1,0.05995,0.012541289,-0.02,0,-0.01205,0.004838861,0
0.23,0.39,0.3015,0.0260797,-1.93,-1.56,-1.77155,0.077414875,10.05,10.37,10.1994,0.047252556,-0.18,-0.04,-0.11305,0.024251561,0.02,0.1,0.0598,0.011295928,-0.02,-0.01,-0.01175,0.003809206,0
0.21,0.34,0.2746,0.019486885,-1.98,-1.8,-1.8968,0.027958332,9.97,10.35,10.17355,0.045044897,-0.17,-0.03,-0.10795,0.02124983,0.02,0.1,0.05875,0.010318423,-0.02,0,-0.01125,0.0036059,0
0.25,0.52,0.34975,0.059473718,-1.95,-1.19,-1.6359,0.225660816,10.02,10.48,10.2195,0.064307287,-0.2,0.01,-0.1077,0.039337606,0.02,0.1,0.05855,0.013576417,-0.02,0,-0.0124,0.004935768,0
0.24,0.47,0.3466,0.055314905,-2.01,-1.21,-1.64505,0.219075255,10.02,10.42,10.2198,0.056992991,-0.21,0.01,-0.10015,0.042372807,0.03,0.1,0.05725,0.013183571,-0.02,0,-0.01185,0.004492037,0
0.26,0.48,0.38065,0.049874994,-1.81,-1.17,-1.4683,0.192583885,10.03,10.45,10.2532,0.05639737,-0.22,0.02,-0.10285,0.044669389,0.01,0.1,0.05755,0.013945245,-0.02,0,-0.01175,0.00453213,0
0.25,0.49,0.3459,0.049002,-1.9,-1.2,-1.601,0.193557024,10.03,10.47,10.23085,0.059653754,-0.23,0.02,-0.1166,0.044625071,0.02,0.09,0.0606,0.014164858,-0.02,0,-0.01325,0.005203159,0
0.22,0.45,0.3212,0.054242708,-1.99,-1.3,-1.69885,0.204806999,9.95,10.44,10.21115,0.061580339,-0.19,0.03,-0.1075,0.038276303,0.02,0.09,0.0589,0.012472684,-0.02,0,-0.012,0.004369837,0
0.24,0.49,0.3301,0.048266326,-1.91,-1.24,-1.6707,0.179391798,10.03,10.4,10.21725,0.056407861,-0.2,0.03,-0.101,0.041709693,0.01,0.1,0.0567,0.013491483,-0.02,0,-0.0115,0.004566648,0
0.24,0.5,0.3556,0.055975946,-1.95,-1.22,-1.58185,0.21770174,10.03,10.39,10.2274,0.054774458,-0.21,0.02,-0.1094,0.049201054,0.01,0.1,0.0597,0.015879888,-0.02,0,-0.01215,0.004898723,0
0.12,0.36,0.23735,0.052605267,-1.91,-1.23,-1.6569,0.191690155,10,10.41,10.21695,0.058155894,-0.21,0.03,-0.11295,0.044028286,0.01,0.11,0.05975,0.014157673,-0.02,0,-0.01235,0.005109603,0
0.24,0.48,0.32965,0.05181507,-1.96,-1.24,-1.7093,0.196370356,9.98,10.4,10.2095,0.058736701,-0.22,0.02,-0.11255,0.044394276,0.01,0.1,0.05985,0.014229896,-0.02,0,-0.0126,0.005232292,0
0.24,0.48,0.3484,0.056696672,-1.99,-1.24,-1.6338,0.228194927,10,10.42,10.21695,0.061130041,-0.22,0.03,-0.098,0.05411694,0.02,0.11,0.0563,0.016451848,-0.02,0,-0.0118,0.005468962,0
0.23,0.43,0.3043,0.045451504,-2.05,-1.37,-1.79565,0.18848664,9.92,10.43,10.19535,0.060772891,-0.21,0.02,-0.1165,0.047444758,0.02,0.1,0.06135,0.013623712,-0.02,0,-0.01305,0.005228209,0
0.22,0.43,0.3135,0.053130634,-2.05,-1.37,-1.7479,0.211369286,9.99,10.38,10.2011,0.056611077,-0.2,0.03,-0.0977,0.049334363,0.01,0.1,0.056,0.015004187,-0.02,0,-0.0115,0.004987421,0
0.23,0.43,0.31655,0.044014588,-2.03,-1.35,-1.76625,0.181591063,9.94,10.39,10.1994,0.059221414,-0.21,0.03,-0.11265,0.048177618,0.02,0.09,0.0597,0.014031909,-0.02,0,-0.01245,0.005062176,0
0.24,0.43,0.3252,0.042756292,-2.04,-1.39,-1.74535,0.170685516,10.04,10.41,10.2029,0.055033932,-0.22,0.03,-0.11125,0.046764002,0.01,0.1,0.05895,0.014472205,-0.02,0,-0.0126,0.004832886,0
